Name_Id,id_from,RA,DEC,otype_txt,redshift,rvz_type,otypes,Ne_IR_info,SMB_sample
NGC  1058,NGC  1058,40.87511035427001,37.34132856994001,Sy2,0.0017293573493151193,v,*  |AGN|G  |GiG|IR |Sy2|V* ,NeII|NeV,34422
IC 2560,IC 2560,154.07794710736,-33.56381118741001,Sy2,0.009795045606168395,v,*  |AGN|G  |GiG|HI |HII|IR |Rad|Sy2|gam,NeII|NeIII|NeV,34467
QSO B1048+342,WISEA J105143.88+335926.7,162.93288180804,33.9907453869,Sy1,0.16707,z,*  |AGN|G  |IR |QSO|Sy1|UV |X  |blu,NeII,34707
NGC  1125,NGC  1125,42.91791666666667,-16.65111111111111,Sy2,0.011024,z,*  |AGN|G  |IR |Sy2|X  ,NeII|NeIII,34878
LEDA   24384,LEDA   24384,130.12463038009,47.11951149566999,Sy1,0.04196,z,*  |AGN|EmO|G  |H2G|HII|PoG|Sy1|blu,NeII|NeIII,34935
M 106,M 106,184.7400833333333,47.30371944444444,Sy2,0.001541,z,AGN|G  |GiG|IG |LIN|Mas|Rad|Sy2|X  ,NeII|NeIII|NeV,35023
NGC  5995,NGC  5995,237.10394318847,-13.75756721303,Sy2,0.025350871235059556,c,AGN|G  |IR |Rad|Sy2|X  |gam,NeII|NeIII|NeV,35257
2MASSI J0918486+211717,2MASSI J0918486+211717,139.7025485953,21.28807503529,Sy1,0.14903,z,AGN|IR |QSO|Sy1|X  ,NeII|NeIII|NeV,35738
LEDA   17155,LEDA   17155,80.25583108574,-25.36258939662,Sy2,0.043508411779619616,v,AGN|G  |IR |Sy2|X  |gam,NeII|NeIII|NeV,35739
[VV2003c] J082001.7+505039,SHOC 198,125.00717,50.844203,Sy1,0.2174,z,AGN|G  |H2G|Sy1,NeIII,35799
2MASX J08584172+1041223,2MASX J08584172+1041223,134.6740000945038,10.6894513470143,Sy2,0.14803,z,AGN|G  |IR |QSO|Rad|Sy2|X  |rG ,NeII|NeIII|NeV,35970
SDSS J231812.99-004126.1,SDSS J231812.99-004126.1,349.55416476101,-0.69062078338,Sy1,0.25167,z,AGN|G  |IR |Sy1,NeIII,36020
3C 343,3C 343,248.6408614245833,62.75997083888889,Sy2,0.987997,z,G  |QSO|Rad|Sy2,NeII|NeIII|NeV,36035
NGC  4992,NGC  4992,197.27330384421,11.63411803059,Sy2,0.02515,z,AG?|AGN|G  |Sy2|X  |gam,NeII,36047
NGC  5395,NGC  5395,209.65816915942,37.42448934104,Sy2,0.01158,z,*  |AGN|G  |GiG|GiP|GrG|HI |IG |IR |LIN|Sy2,NeV,36085
2MASS J10272497+1219196,2MASS J10272497+1219196,156.85409562107,12.32216303604,Sy1,0.23087,z,AGN|IR |QSO|Sy1|X  ,NeII|NeIII|NeV,36118
M  94,M  94,192.72114082143,41.12025024573,SyG,0.0009573289532186965,c,*  |AGN|G  |GiG|IR |Rad|SyG|X  |smm,NeII|NeIII|NeV,36149
NGC  5990,NGC  5990,236.56820946001,2.4154705299499994,Sy2,0.012558688184210425,c,AGN|G  |GiG|IR |Rad|Sy2|rG |smm,NeII|NeIII|NeV,36232
Mrk    3,Mrk    3,93.90117177474,71.03745478328,Sy2,0.013,z,AGN|G  |IR |Rad|Sy2|X  |gam,NeII|NeIII|NeV,36317
NGC  4051,NGC  4051,180.79004222388,44.53130072258,Sy1,0.002164830977836007,c,*  |AGN|Em*|G  |GiG|IR |Rad|Sy1|UV |V* |X  |gam|smm,NeII|NeIII|NeV,36379
LEDA   70560,LEDA   70560,347.14147387909,5.35826437567,Sy2,0.173,z,*  |AGN|G  |IR |QSO|Sy2|gam,NeII|NeIII|NeV,36398
3C 452,3C 452,341.45317340530994,39.68775188394,Sy2,0.081086,z,AGN|G  |IR |QSO|Rad|Sy2|X  ,NeII|NeIII|NeV,36429
LEDA  165630,LEDA  165630,212.3802375,5.192030555555555,Sy2,0.2644,z,G  |IR |QSO|Sy2,NeII|NeIII|NeV,36444
MCG+00-29-023,MCG+00-29-023,170.3010875,-2.984166666666667,Sy2,0.0247,z,*  |AGN|G  |GiG|IR |LIN|Sy2,NeII|NeIII|NeV,36545
4C 23.43,4C 23.43,246.16284929082,23.753395380670003,Sy1,0.92715,z,*  |AGN|Bla|G  |IR |QSO|Rad|Sy1|X  ,NeII|NeIII|NeV,36609
UGC  3351,UGC  3351,86.44931666666668,58.70106388888888,Sy2,0.014972353753021528,v,AGN|G  |IR |Rad|Sy2|smm,NeII|NeIII|NeV,36848
Mrk  705,Mrk  705,141.51362267542,12.73437010813,Sy1,0.02878,z,AGN|BiC|G  |IR |QSO|Rad|Sy1|UV |X  |gam,NeII|NeIII|NeV,36893
UGC  3601,UGC  3601,103.9563790056,40.00031193039,Sy1,0.017202,z,AGN|G  |GiG|Sy1|X  ,NeII|NeIII|NeV,37074
3C 286,3C 286,202.78453479432,30.50915558099,Sy1,0.849,z,*  |AGN|G  |IR |Q? |QSO|Rad|Sy1|UV |X  |smm,NeII|NeIII|NeV,37150
ESO  33-2,ESO  33-2,73.99551422113,-75.54118678611,Sy2,0.018426,z,*  |AGN|G  |GiG|IR |Sy2|X  |gam,NeII|NeIII|NeV,37172
NGC  4725,NGC  4725,192.61071515333,25.50075919183,Sy2,0.004040954501193239,v,*  |AGN|G  |GiC|GiG|IR |Sy2|X  ,NeII|NeIII|NeV,37310
NGC  7682,NGC  7682,352.26632555666,3.53331150429,Sy2,0.017230236176245084,v,AGN|G  |GiP|GrG|IG |Rad|Sy2|SyG|X  ,NeII|NeIII|NeV,37343
[VV2003c] J124819.8+662143,SDSS J124819.75+662142.7,192.08240145671,66.36181100685,Sy1,0.26,z,*  |AGN|G  |Sy1,NeIII,37632
7C 1821+6419,7C 1821+6419,275.4883876131,64.34339480891,Sy1,0.297,z,AGN|G  |IR |QSO|Rad|Sy1|UV |X  |gam,NeII|NeIII|NeV,37696
MCG-01-24-012,MCG-01-24-012,140.19275709057,-8.05609271113,Sy2,0.019827,z,AGN|G  |IR |Rad|Sy2|X  |gam,NeII|NeIII|NeV,37858
NGC  1358,NGC  1358,53.41533650702999,-5.08950386547,Sy2,0.013446,z,*  |AGN|G  |GiG|IR |Sy2|X  |gam,NeII|NeIII|NeV,37917
NGC  2110,NGC  2110,88.04740361199,-7.456252073719999,Sy2,0.007579,z,AGN|G  |IR |Rad|Sy2|X  |gam,NeII|NeIII|NeV,37967
2MASS J10514425+3539307,NVSS J105144+353931,162.9343616698,35.65853695596999,Sy1,0.15879,z,AGN|G  |IR |Rad|Sy1|X  ,NeII|NeIII|NeV,38051
NGC  5929,NGC  5929,231.52565180563997,41.67066230406,Sy1,0.008506,z,AGN|EmG|G  |GiP|HI |IG |IR |LIN|Rad|Sy1|X  ,NeII|NeIII|NeV,38097
SDSS J120424.54+192509.7,SDSS J120424.54+192509.7,181.10226365711,19.419381395770003,Sy2,0.16788,z,*  |AGN|G  |GiC|IR |QSO|Rad|Sy2|rG ,NeII|NeIII|NeV,38155
ESO 297-18,ESO 297-18,24.654841905180003,-40.01143096052,Sy2,0.0252,z,AGN|G  |IR |Sy2|UV |X  ,NeII,38232
NGC  4968,NGC  4968,196.7749,-23.677038888888887,Sy2,0.009967,z,*  |AGN|EmO|G  |GiG|IR |Rad|Sy2|X  |gam,NeII|NeIII|NeV,38310
NGC   253,NGC   253,11.888058333333332,-25.2888,SyG,0.0008636368125056748,v,AGN|EmG|G  |GiG|HI |IR |Rad|SyG|X  |cm |gam,NeII|NeIII|NeV,38311
NGC  3660,NGC  3660,170.88449219189,-8.65853613806,Sy2,0.012340286699663583,v,*  |AGN|EmG|G  |GrG|HI |IR |Sy2|X  |gam,NeII|NeIII|NeV,38327
NAME Pic A,WISEA J051949.72-454643.8,79.95717888494,-45.77884796187,Sy1,0.034,z,AGN|G  |IR |LIN|QSO|Rad|Sy1|X  |cm |gam|rG |smm,NeII,38367
NGC  6926,NGC  6926,308.27545190945995,-2.02736080816,Sy2,0.01984683774169027,v,AGN|G  |GiG|HI |IG |IR |Rad|Sy2|X  ,NeV,38435
2E  2389,2E  2389,166.0577547903,76.98283181919,Sy1,0.3115,z,*  |BH?|G  |IR |QSO|Rad|Sy1|UV |X  |gam,NeII|NeV,38517
ESO 103-35,ESO 103-35,279.58466867564,-65.42753939026,Sy2,0.013249,z,*  |AGN|G  |GiG|IR |Sy1|Sy2|X  |gam,NeII|NeIII|NeV,38643
ICRF J182931.7+484446,ICRF J182931.7+484446,277.38242072207,48.74615560247,Sy1,0.691999,z,*  |AGN|Bla|Bz?|G  |IR |QSO|Rad|Sy1|X  |gam,NeII|NeIII|NeV,39032
2MASX J12390630-1610472,2MASX J12390630-1610472,189.7761706252,-16.179784491599996,Sy2,0.0367,z,*  |AGN|G  |IR |Q? |Rad|Sy2|X  |gam,NeII,39071
