#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
     9302.7525787415        9.369947e-16                       |         3.22262101e+14      2.70482624e-29                    
     9307.7525787415         9.05717e-16                       |         3.22088986e+14      2.61734803e-29                    
     9312.7525787415        8.779648e-16                       |         3.21916057e+14      2.53987609e-29                    
     9317.7525787415        8.671628e-16                       |         3.21743314e+14      2.51132132e-29                    
     9322.7525787415        8.390895e-16                       |         3.21570755e+14      2.43262911e-29                    
     9327.7525787415        8.555226e-16                       |         3.21398382e+14      2.48293195e-29                    
     9332.7525787415         8.84286e-16                       |         3.21226194e+14      2.56916235e-29                    
     9337.7525787415        9.400532e-16                       |         3.21054190e+14      2.73411295e-29                    
     9342.7525787415        9.098285e-16                       |         3.20882370e+14      2.64904007e-29                    
     9347.7525787415        9.058817e-16                       |         3.20710734e+14      2.64037249e-29                    
     9352.7525787415        8.890762e-16                       |         3.20539281e+14      2.59416247e-29                    
     9357.7525787415        8.632617e-16                       |         3.20368012e+14      2.52153433e-29                    
     9362.7525787415        8.266459e-16                       |         3.20196926e+14      2.41716282e-29                    
     9367.7525787415        8.129815e-16                       |         3.20026022e+14      2.37974697e-29                    
     9372.7525787415         8.25368e-16                       |         3.19855300e+14      2.41858429e-29                    
     9377.7525787415        8.766802e-16                       |         3.19684761e+14      2.57168655e-29                    
     9382.7525787415        8.747877e-16                       |         3.19514403e+14      2.56887216e-29                    
     9387.7525787415        8.506137e-16                       |         3.19344227e+14      2.50054652e-29                    
     9392.7525787415        8.055555e-16                       |         3.19174232e+14      2.37061227e-29                    
     9397.7525787415        8.287906e-16                       |         3.19004418e+14      2.44158656e-29                    
     9402.7525787415        9.320358e-16                       |         3.18834784e+14      2.74866560e-29                    
     9407.7525787415          9.5123e-16                       |         3.18665331e+14      2.80825544e-29                    
     9412.7525787415        9.178419e-16                       |         3.18496058e+14      2.71256692e-29                    
     9417.7525787415        8.590947e-16                       |         3.18326964e+14      2.54164498e-29                    
     9422.7525787415        8.047969e-16                       |         3.18158050e+14      2.38353298e-29                    
     9427.7525787415        7.905158e-16                       |         3.17989316e+14      2.34372257e-29                    
     9432.7525787415        7.958694e-16                       |         3.17820760e+14      2.36209842e-29                    
     9437.7525787415        8.030185e-16                       |         3.17652382e+14      2.38584388e-29                    
     9442.7525787415        7.879832e-16                       |         3.17484183e+14      2.34365388e-29                    
     9447.7525787415        7.768495e-16                       |         3.17316162e+14      2.31298709e-29                    
     9452.7525787415         8.03682e-16                       |         3.17148319e+14      2.39541143e-29                    
     9457.7525787415        8.488108e-16                       |         3.16980653e+14      2.53259701e-29                    
     9462.7525787415         8.73738e-16                       |         3.16813165e+14      2.60972947e-29                    
     9467.7525787415        8.768983e-16                       |         3.16645853e+14      2.62193743e-29                    
     9472.7525787415        8.867317e-16                       |         3.16478718e+14      2.65414056e-29                    
     9477.7525787415        9.053817e-16                       |         3.16311759e+14      2.71282477e-29                    
     9482.7525787415        9.321737e-16                       |         3.16144976e+14      2.79605030e-29                    
     9487.7525787415        9.391612e-16                       |         3.15978369e+14      2.81998072e-29                    
     9492.7525787415        9.409021e-16                       |         3.15811938e+14      2.82818657e-29                    
     9497.7525787415         9.77359e-16                       |         3.15645682e+14      2.94086518e-29                    
     9502.7525787415        1.091619e-15                       |         3.15479601e+14      3.28813186e-29                    
     9507.7525787415        1.241162e-15                       |         3.15313694e+14      3.74251465e-29                    
     9512.7525787415        1.478738e-15                       |         3.15147962e+14      4.46357597e-29                    
     9517.7525787415        1.906234e-15                       |         3.14982404e+14      5.76002447e-29                    
     9522.7525787415        3.086481e-15                       |         3.14817020e+14      9.33615180e-29                    
     9527.7525787415        4.941199e-15                       |         3.14651810e+14      1.49621010e-28                    
     9532.7525787415        6.536928e-15                       |         3.14486772e+14      1.98147975e-28                    
     9537.7525787415        6.381946e-15                       |         3.14321908e+14      1.93653132e-28                    
     9542.7525787415         4.68381e-15                       |         3.14157217e+14      1.42274115e-28                    
     9547.7525787415        2.720154e-15                       |         3.13992698e+14      8.27132527e-29                    
     9552.7525787415        1.617671e-15                       |         3.13828351e+14      4.92409649e-29                    
     9557.7525787415        1.194913e-15                       |         3.13664176e+14      3.64105425e-29                    
     9562.7525787415        9.964774e-16                       |         3.13500173e+14      3.03957307e-29                    
     9567.7525787415        9.139999e-16                       |         3.13336342e+14      2.79090668e-29                    
     9572.7525787415        8.816448e-16                       |         3.13172681e+14      2.69492457e-29                    
     9577.7525787415         8.71581e-16                       |         3.13009191e+14      2.66694634e-29                    
     9582.7525787415        8.477411e-16                       |         3.12845872e+14      2.59670781e-29                    
     9587.7525787415        8.527546e-16                       |         3.12682724e+14      2.61479113e-29                    
     9592.7525787415         8.65024e-16                       |         3.12519745e+14      2.65517982e-29                    
     9597.7525787415        8.684253e-16                       |         3.12356936e+14      2.66839958e-29                    
     9602.7525787415        8.624921e-16                       |         3.12194297e+14      2.65293066e-29                    
     9607.7525787415        8.431146e-16                       |         3.12031827e+14      2.59602892e-29                    
     9612.7525787415         8.49042e-16                       |         3.11869526e+14      2.61700166e-29                    
     9617.7525787415        8.702292e-16                       |         3.11707394e+14      2.68509804e-29                    
     9622.7525787415        9.062014e-16                       |         3.11545430e+14      2.79899848e-29                    
     9627.7525787415         9.06633e-16                       |         3.11383634e+14      2.80324244e-29                    
     9632.7525787415        9.063171e-16                       |         3.11222007e+14      2.80517707e-29                    
     9637.7525787415         8.78199e-16                       |         3.11060547e+14      2.72097016e-29                    
     9642.7525787415        8.656971e-16                       |         3.10899255e+14      2.68501864e-29                    
     9647.7525787415        8.357879e-16                       |         3.10738129e+14      2.59494220e-29                    
     9652.7525787415        8.400354e-16                       |         3.10577171e+14      2.61083384e-29                    
     9657.7525787415        8.405855e-16                       |         3.10416380e+14      2.61525078e-29                    
     9662.7525787415        8.374176e-16                       |         3.10255754e+14      2.60809315e-29                    
     9667.7525787415        8.464907e-16                       |         3.10095295e+14      2.63907991e-29                    
     9672.7525787415        8.575534e-16                       |         3.09935002e+14      2.67633594e-29                    
     9677.7525787415        8.707181e-16                       |         3.09774874e+14      2.72023170e-29                    
     9682.7525787415        8.833215e-16                       |         3.09614912e+14      2.76245852e-29                    
     9687.7525787415        8.844356e-16                       |         3.09455115e+14      2.76880001e-29                    
     9692.7525787415        8.801494e-16                       |         3.09295483e+14      2.75822663e-29                    
     9697.7525787415        8.723837e-16                       |         3.09136015e+14      2.73671163e-29                    
     9702.7525787415        8.710581e-16                       |         3.08976712e+14      2.73537160e-29                    
     9707.7525787415        8.760978e-16                       |         3.08817573e+14      2.75403391e-29                    
