Ind#:28358, Id(SIMBAD): 2MASX J14254352+3345275
Ind#:28428, Id(SIMBAD): 2MASX J14304627+3513133
Ind#:28429, Id(SIMBAD): 2MASX J14305363+3458364
Ind#:29395, Id(SIMBAD): 2MASS J16370022+2221140
Ind#:30118, Id(SIMBAD): 2XMM J094046.2+033929
Ind#:30577, Id(SIMBAD): 2MASS J10520202+5633010
Ind#:30975, Id(SIMBAD): 2XMM J094506.4+035552
Ind#:30978, Id(SIMBAD): 2MASX J10032788+5541535
Ind#:31363, Id(SIMBAD): 2XMM J115657.8+550820
Ind#:31631, Id(SIMBAD): 2MASS J10272497+1219196
Ind#:33898, Id(SIMBAD): [LGE2006] 12
Ind#:34205, Id(SIMBAD): NGC  5347
Ind#:34225, Id(SIMBAD): MCG-03-58-007
Ind#:34258, Id(SIMBAD): 2MASX J12390630-1610472
Ind#:34298, Id(SIMBAD): IRAS 11215-2806
Ind#:34350, Id(SIMBAD): Mrk  883
Ind#:34558, Id(SIMBAD): IRAS F00183-7111
Ind#:34565, Id(SIMBAD): LEDA   37102
Ind#:34768, Id(SIMBAD): 2MASX J00215355-7910077
Ind#:34890, Id(SIMBAD): SDSS J120424.54+192509.7
Ind#:35627, Id(SIMBAD): 2MASS J10434845+5811477
Ind#:36056, Id(SIMBAD): 2XMM J142930.6+425148
Ind#:36223, Id(SIMBAD): SDSS J161647.32+371621.2
Ind#:36783, Id(SIMBAD): IRAS 03450+0055
Ind#:36859, Id(NED): WISEA J145331.51+135358.6
Ind#:36892, Id(SIMBAD): 3C 265.0
Ind#:37238, Id(SIMBAD): LEDA   50824
Ind#:37384, Id(SIMBAD): LEDA 2817285
Ind#:37387, Id(SIMBAD): NGC  6810
Ind#:37400, Id(SIMBAD): ICRF J090933.4+425346
Ind#:37417, Id(SIMBAD): ESO 209-12
Ind#:37551, Id(SIMBAD): LEDA   17155
Ind#:38014, Id(SIMBAD): ESO 506-27
Ind#:38202, Id(SIMBAD): LEDA  178130
Ind#:38434, Id(NED): WISEA J183835.40+355220.1
