No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
59,W3 (WISE),8.734,+/-0.021,mag,25900000000000.0,0.0102,0.000197,0.000197,,,+/-1.97E-04,Jy,2014A&A...570A.110Z,uncertainty,11.56 microns,Broad-band measurement,14 09 31.26 +05 11 31.4 (J2000),From fitting to map,,Averaged from previously published data
60,12 microns (IRAS),,<7.470E-02,Jy,25000000000000.0,,,,0.0747,,<7.47E-02,Jy,1990IRASF.C...0000M,90% confidence,12        microns,Broad-band measurement,140700.4 +052544 (B1950),Flux in fixed aperture,,From new raw data
61,HI 7-6 (IRS),,<0.27E-21,W/cm^2^,24200000000000.0,,,,270000000.0,,<2.70E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,12.368 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
62,[Ne II] 12.81 (IRS),1.33e-21,,W/cm^2^,23400000000000.0,1330000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,12.814 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
63,[Ne V] 14.32 (IRS),,<0.42E-21,W/cm^2^,20900000000000.0,,,,420000000.0,,<4.20E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,14.322 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
64,[Cl II] 14.37 (IRS),,<0.33E-21,W/cm^2^,20900000000000.0,,,,330000000.0,,<3.30E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,14.369 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
65,15 microns (Spitzer),35.0,,milliJy,20000000000000.0,0.035,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,15 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
66,[Ne III] 15.56 (IRS),2.01e-21,,W/cm^2^,19300000000000.0,2010000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,15.555 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
67,[Fe II] 17.94 (IRS),,<0.53E-21,W/cm^2^,16700000000000.0,,,,530000000.0,,<5.30E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,17.936 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
68,[S III] 18.71 (IRS),,<0.77E-21,W/cm^2^,16000000000000.0,,,,770000000.0,,<7.70E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,18.713 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
69,20 microns (Spitzer),55.3,,milliJy,15000000000000.0,0.0553,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,20 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
70,22 microns (IRS),30.1,,milliJy,13600000000000.0,0.0301,,,,,,Jy,2011ApJS..193...18W,no uncertainty reported,22 microns,Broad-band measurement,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
71,W4 (WISE),6.029,+/-0.036,mag,13600000000000.0,0.0324,0.00108,0.00108,,,+/-1.08E-03,Jy,2014A&A...570A.110Z,uncertainty,22.08 microns,Broad-band measurement,14 09 31.26 +05 11 31.4 (J2000),From fitting to map,,Averaged from previously published data
72,W4 (WISE),6.004,+/-0.04,mag,13600000000000.0,0.0332,0.00122,0.00122,,,+/-1.22E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
73,W4 (WISE),5.979,+/-0.055,mag,13600000000000.0,0.0339,0.00172,0.00172,,,+/-1.72E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected",From new raw data; Uncorrected for known sources in beam
74,W4 (WISE),6.289,+/-0.059,mag,13600000000000.0,0.0255,0.00139,0.00139,,,+/-1.39E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
75,[Ne V] 24.32 (IRS),,<1.25E-21,W/cm^2^,12300000000000.0,,,,1250000000.0,,<1.25E+09,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,24.318 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
76,25 microns (Spitzer),193.3,,milliJy,12000000000000.0,0.193,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,25 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
77,25 microns (IRAS),,<2.213E-01,Jy,12000000000000.0,,,,0.221,,<2.21E-01,Jy,1990IRASF.C...0000M,90% confidence,25        microns,Broad-band measurement,140700.4 +052544 (B1950),Flux in fixed aperture,,From new raw data
78,[O IV] 25.89 (IRS),,<1.98E-21,W/cm^2^,11600000000000.0,,,,1980000000.0,,<1.98E+09,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,25.890 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
79,[Fe II] 15.99 (IRS),,<1.37E-21,W/cm^2^,11500000000000.0,,,,1370000000.0,,<1.37E+09,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,25.988 microns,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 32 (J2000),Flux integrated from map,,From new raw data
80,30 microns (Spitzer),384.2,,milliJy,9990000000000.0,0.384,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,30 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
81,60 microns (IRAS),1.447,+/-6   %,Jy,5000000000000.0,1.45,0.0868,0.0868,,,+/-8.68E-02,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,140700.4 +052544 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
82,100 microns (IRAS),1.821,+/-9   %,Jy,3000000000000.0,1.82,0.164,0.164,,,+/-1.64E-01,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,140700.4 +052544 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
83,CO(1-0) (IRAM),3.8,+/-0.4,Jy km/s,115000000000.0,1160000.0,122000.0,122000.0,,,+/-1.22E+05,Jy-Hz,2011A&A...528A.124C,statistical error,115.271 GHz,Line measurement; flux integrated over line; lines measured in emission,14 09 31.2 +05 11 31 (J2000),Flux integrated from map,From 1997ApJ...478..144S,Averaged from previously published data
84,4.8 GHz (VLA),2.75,,milliJy,4860000000.0,0.00275,,,,,,Jy,2006A&A...449..559B,no uncertainty reported,4.86   GHz,Broad-band measurement,14 07 00.77 +05 25 40.7 (J2000),Total flux,,From new raw data
85,1.4 GHz (VLA),5.49,,milliJy,1420000000.0,0.00549,,,,,,Jy,2006A&A...449..559B,no uncertainty reported,1.42   GHz,Broad-band measurement,14 07 00.77 +05 25 40.7 (J2000),Total flux,,From new raw data
86,1.4GHz,5.2,+/-0.5,milliJy,1400000000.0,0.0052,0.0005,0.0005,,,+/-5.00E-04,Jy,1998AJ....115.1693C,uncertainty,1.40   GHz,Broad-band measurement,14 09 31.41 +05 11 33.9 (J2000),Flux integrated from map,,From new raw data
87,1.4 GHz (FIRST),5.53,,milliJy,1400000000.0,0.00553,,,,,,Jy,2017MNRAS.464.1306C,no uncertainty reported,1.4 GHz,Broad-band measurement,212.38024 +05.19203 (J2000),Total flux,Nr. of components = 1,Averaged from previously published data
88,1.4 GHz (NVSS),4.8,,milliJy,1400000000.0,0.0048,,,,,,Jy,2017MNRAS.464.1306C,no uncertainty reported,1.4 GHz,Broad-band measurement,212.38024 +05.19203 (J2000),Total flux,Nr. of components = 1,Averaged from previously published data
