No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
64,V Johnson (FLWO),14.915,+/-0.055,mag,542000000000000.0,0.00394,0.000199,0.000199,,,+/-1.99E-04,Jy,1994ApJS...95....1E,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data
65,V (Johnson),16.2,,mag,542000000000000.0,0.00121,,,,,,Jy,2009ApJ...694L.166B,no uncertainty reported,5530 A,Broad-band measurement,,Modelled datum,Bulge magnitude,From new raw data
66,[O I] 6300,,<6.5E-15,erg/cm^2^/s,476000000000000.0,,,,650000000.0,,<6.50E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,6300 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=2; see paper,From reprocessed raw data
67,F_pg,14.5,+/-0.3,mag,468000000000000.0,0.00488,0.00135,0.00135,,,+/-1.35E-03,Jy,2007ApJS..170...33P,estimated error,6400   A,Broad-band measurement,16 13 57.32 +65 43 12.1 (J2000),Flux in fixed aperture,Isophotal mag,From reprocessed raw data
68,H{alpha},9.7e-13,+/-5.8E-14,ergs/s/cm^2^,457000000000000.0,97000000000.0,5800000000.0,5800000000.0,,,+/-5.80E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,6563   A,Line measurement; flux integrated over line; lines measured in emission,16 13 36.3 +65 50 38 (J2000),Total flux,,From new raw data
69,H{alpha},3.06e-14,+/-3.4E-15,erg/cm^2^/s,457000000000000.0,3060000000.0,340000000.0,340000000.0,,,+/-3.40E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,6563 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Broad comp;spec fit flag=2; see paper,From reprocessed raw data
70,[N II] 6583,1.38e-14,+/-2.8E-15,erg/cm^2^/s,455000000000000.0,1380000000.0,280000000.0,280000000.0,,,+/-2.80E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,6583 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
71,R' (Cousins),3.31,+/-0.08,milliJy,448000000000000.0,0.00331,8e-05,8e-05,,,+/-8.00E-05,Jy,1983ApJS...52..341M,1 sigma,6690   A,Broad-band measurement,16 13 36.2 +65 50 37 (B1950),Flux in fixed aperture,"15.4"" aperture",From new raw data
72,[S II] 6716,1.09e-14,+/-1.0E-15,erg/cm^2^/s,446000000000000.0,1090000000.0,100000000.0,100000000.0,,,+/-1.00E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,6716 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
73,[S II] 6731,,<77.4E-15,erg/cm^2^/s,445000000000000.0,,,,7740000000.0,,<7.74E+09,Jy-Hz,2017ApJ...850...74K,3 sigma,6731 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
74,R Johnson (FLWO),14.623,+/-0.059,mag,433000000000000.0,0.00409,0.00022,0.00022,,,+/-2.20E-04,Jy,1994ApJS...95....1E,uncertainty,6930   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
75,R (Johnson),14.54,,mag,428000000000000.0,0.00425,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,7000   A,Broad-band measurement,,Flux in fixed aperture,"25"" aperture",Transformed from previously published data; Standard JohnsonUBVRI filters assumed
76,I' (Cousins),5.48,+/-0.16,milliJy,375000000000000.0,0.00548,0.00016,0.00016,,,+/-1.60E-04,Jy,1983ApJS...52..341M,1 sigma,8000   A,Broad-band measurement,16 13 36.2 +65 50 37 (B1950),Flux in fixed aperture,"15.4"" aperture",From new raw data
77,I Johnson (FLWO),13.864,+/-0.061,mag,341000000000000.0,0.00649,0.000363,0.000363,,,+/-3.63E-04,Jy,1994ApJS...95....1E,uncertainty,8785   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
78,I (m_I Int.),13.98,+/-0.12,mag,341000000000000.0,0.00583,0.00141,0.00141,,,+/-1.41E-03,Jy,2001AJ....122.2791S,uncertainty,0.879      microns,Broad-band measurement,,Flux integrated from map,,From new raw data; Standard Johnson UBVRI filters assumed
79,J (2MASS/FLWO),13.05,+/-0.016,mag,243000000000000.0,0.0096,0.000142,0.000142,,,+/-1.42E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
80,J (2MASS/FLWO),13.165,+/-0.036,mag,243000000000000.0,0.00864,0.000286,0.000286,,,+/-2.86E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
81,J,12.683,+/-0.038,mag,240000000000000.0,0.0135,0.000479,0.000479,,,+/-4.79E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,161357.19 +654309.9 (J2000),Flux in fixed aperture,,From new raw data
82,J,14.03,+/-0.05,mag,240000000000000.0,0.00383,0.000176,0.000176,,,+/-1.76E-04,Jy,1994ApJS...95....1E,uncertainty,1.25   microns,Broad-band measurement,,Flux in fixed aperture,"1984; MMT; Beam = 9""",From new raw data
83,J,13.55,+/-0.06,mag,240000000000000.0,0.00596,0.000329,0.000329,,,+/-3.29E-04,Jy,1994ApJS...95....1E,uncertainty,1.25   microns,Broad-band measurement,,Flux in fixed aperture,"1985; MMT; Beam = 5""",From new raw data
84,J,13.55,+/-0.06,mag,240000000000000.0,0.00596,0.000329,0.000329,,,+/-3.29E-04,Jy,1994ApJS...95....1E,uncertainty,1.25   microns,Broad-band measurement,,Flux in fixed aperture,"1988; MMT; Beam = 5""",From new raw data
85,J,13.64,+/-0.04,mag,240000000000000.0,0.00548,0.000202,0.000202,,,+/-2.02E-04,Jy,1994ApJS...95....1E,uncertainty,1.25   microns,Broad-band measurement,,Flux in fixed aperture,"1988; IRTF; Beam = 6""",From new raw data
86,J_14arcsec (2MASS),12.891,+/-0.016,mag,240000000000000.0,0.0111,0.000165,0.000165,,,+/-1.65E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,161357.19 +654309.9 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
87,J,12.782,+/-0.029,mag,240000000000000.0,0.0123,0.000332,0.000332,,,+/-3.32E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,161357.19 +654309.9 (J2000),Flux in fixed aperture,21.6 x   18.6 arcsec integration area.,From new raw data
88,J (GeminiN),7.87,+/-5   %,milliJy,240000000000000.0,0.00787,0.000394,0.000394,,,+/-3.94E-04,Jy,2006ApJS..166...89G,typical accuracy,1.250   microns,Broad-band measurement,16 13 57.27 +65 43 09.7 (J2000),Flux in fixed aperture,"5.5"" diameter aperture",From new raw data
89,1.25 microns,13.54,+/-0.10,mag,240000000000000.0,0.00576,0.000555,0.000555,,,+/-5.55E-04,Jy,1982AJ.....87..598R,uncertainty,1.25    microns,Broad-band measurement,,Flux in fixed aperture,"8.5"" aperture",From new raw data
